Subtracted_Data X1	Subtracted_Data Y1
	Subtracted from B
3997.50329	-3.40269329318958E-4
3995.45434	-2.46594924279029E-4
3993.40538	-1.61926724192167E-4
3991.35643	-8.62647290583722E-5
3989.30748	-1.96089388776441E-5
3987.25853	3.80406463500172E-5
3985.20958	8.66840266246115E-5
3983.16063	1.26321201946139E-4
3981.11168	1.5626406347601E-4
3979.06273	1.5904742118761E-4
3977.01378	1.66904548479374E-4
3974.96483	1.75516657086454E-4
3972.91588	1.68963157776811E-4
3970.86692	1.52128891183378E-4
3968.81797	1.30333087080171E-4
3966.76902	1.19863301033962E-4
3964.72007	1.48445993791609E-4
3962.67112	2.08242040325172E-4
3960.62217	2.66643067457202E-4
3958.57322	3.53538439569331E-4
3956.52427	4.41007566294753E-4
3954.47532	4.50586888406374E-4
3952.42637	4.03830920845643E-4
3950.37741	3.61199164891116E-4
3948.32846	3.6572125756967E-4
3946.27951	3.71476609665632E-4
3944.23056	3.21703003005943E-4
3942.18161	2.61945903075919E-4
3940.13266	2.57053967317859E-4
3938.08371	2.80328324854347E-4
3936.03476	3.24898159111104E-4
3933.98581	4.19467331507803E-4
3931.93686	5.2830528923102E-4
3929.88791	5.95943931770494E-4
3927.83895	5.74154977623095E-4
3925.79	4.85597023116444E-4
3923.74105	4.02096085395431E-4
3921.6921	4.04971394277506E-4
3919.64315	5.13343076190796E-4
3917.5942	5.75625398957413E-4
3915.54525	5.38676052845265E-4
3913.4963	4.90637796002041E-4
3911.44735	4.06558380927497E-4
3909.3984	3.12327164532154E-4
3907.34945	3.33118580276035E-4
3905.30049	3.99500726781129E-4
3903.25154	3.86313195885783E-4
3901.20259	4.18368430110853E-4
3899.15364	4.87700583398084E-4
3897.10469	5.5707686418419E-4
3895.05574	6.93472609868746E-4
3893.00679	8.29274922565482E-4
3890.95784	9.86373166840018E-4
3888.90889	0.00114496441599173
3886.85994	0.00125023214489563
3884.81098	0.00132726028931871
3882.76203	0.00125918708367506
3880.71308	0.00122191999315268
3878.66413	0.00129680539697151
3876.61518	0.00120028468938442
3874.56623	9.55007431013097E-4
3872.51728	8.17333574742636E-4
3870.46833	8.32871942246657E-4
3868.41938	9.67032275957344E-4
3866.37043	9.09921128044462E-4
3864.32148	5.99138271428972E-4
3862.27252	4.30600221118771E-4
3860.22357	4.68404487602443E-4
3858.17462	5.25562608523558E-4
3856.12567	5.73801046538782E-4
3854.07672	6.4176936145677E-4
3852.02777	7.98071850164624E-4
3849.97882	9.01901044855616E-4
3847.92987	8.81155360088187E-4
3845.88092	8.88312410854053E-4
3843.83197	0.00101415748285489
3841.78301	0.00127347586943895
3839.73406	0.00142165014902882
3837.68511	0.0013173570177007
3835.63616	0.00124207860140171
3833.58721	0.00119965901052229
3831.53826	0.00124890164999245
3829.48931	0.00131667326028066
3827.44036	0.00128241071761599
3825.39141	0.00128709842351889
3823.34246	0.00132321397192119
3821.29351	0.00129308111777838
3819.24455	0.00122176569750131
3817.1956	0.00125572721266664
3815.14665	0.00128440254042421
3813.0977	0.00123839597874598
3811.04875	0.00125907200078401
3808.9998	0.00133661862567572
3806.95085	0.00135346820491352
3804.9019	0.00126779064656691
3802.85295	0.00129578302081962
3800.804	0.00132406771866666
3798.75505	0.00124407256754776
3796.70609	0.00122407607364406
3794.65714	0.0013302300463126
3792.60819	0.00137396231301846
3790.55924	0.00130369617122685
3788.51029	0.00132342054385681
3786.46134	0.00133108814455985
3784.41239	0.00129250689062519
3782.36344	0.00128686026497091
3780.31449	0.00124018244068853
3778.26554	0.00116017273262874
3776.21658	0.00114571598190291
3774.16763	0.0012221133192245
3772.11868	0.00126968849975079
3770.06973	0.00125174265421422
3768.02078	0.00133346831180273
3765.97183	0.00154181366999996
3763.92288	0.0015674192254686
3761.87393	0.00146357705860154
3759.82498	0.00154538921460912
3757.77603	0.00159622016750417
3755.72708	0.00141519005261327
3753.67812	0.00122572669758092
3751.62917	0.0011905429979353
3749.58022	0.00116594460939598
3747.53127	0.00108701546823605
3745.48232	9.89717335461926E-4
3743.43337	8.86790262162658E-4
3741.38442	9.22720899074614E-4
3739.33547	0.00108414069333602
3737.28652	0.00119028743532261
3735.23757	0.00114031745521245
3733.18862	0.00111387577532766
3731.13966	0.00117497845872558
3729.09071	0.00108715288069206
3727.04176	9.75935466298149E-4
3724.99281	9.77179380302133E-4
3722.94386	9.11226482169318E-4
3720.89491	7.14156183042786E-4
3718.84596	5.21622554722669E-4
3716.79701	4.75804555910664E-4
3714.74806	5.03559884899122E-4
3712.69911	5.35311841249269E-4
3710.65015	5.03700922524937E-4
3708.6012	4.2319568060083E-4
3706.55225	4.2408367188886E-4
3704.5033	5.62996344216063E-4
3702.45435	7.16682791174601E-4
3700.4054	8.1385591107926E-4
3698.35645	9.0742769452771E-4
3696.3075	9.18554476034563E-4
3694.25855	8.65252323365809E-4
3692.2096	9.23202455679043E-4
3690.16065	0.00108700917156942
3688.11169	0.00105648943932849
3686.06274	9.64980589251971E-4
3684.01379	9.99684205042542E-4
3681.96484	9.65421779685559E-4
3679.91589	9.15621141792834E-4
3677.86694	0.00100121238177304
3675.81799	0.0011189355448133
3673.76904	0.00113367547250838
3671.72009	0.00113718578732342
3669.67114	0.00117310246078739
3667.62218	0.00122391214458601
3665.57323	0.00141665352661819
3663.52428	0.00164522500298258
3661.47533	0.00161997729835024
3659.42638	0.00133861851640973
3657.37743	0.00125109214670677
3655.32848	0.00128449124766648
3653.27953	0.00116412643730569
3651.23058	0.00105783367308977
3649.18163	9.94897382513751E-4
3647.13268	9.07806143312042E-4
3645.08372	9.61175750833509E-4
3643.03477	0.00116776727628554
3640.98582	0.00122061369016433
3638.93687	0.0012870378563012
3636.88792	0.00156953927434945
3634.83897	0.00183147715945438
3632.79002	0.00187310648993239
3630.74107	0.00184889936572896
3628.69212	0.00195970797490315
3626.64317	0.00207517183853479
3624.59422	0.00210364540893622
3622.54526	0.00211344693933892
3620.49631	0.00208548291828259
3618.44736	0.00207829784337072
3616.39841	0.00221762173590966
3614.34946	0.00234024343142678
3612.30051	0.00229392914736366
3610.25156	0.00233563062155139
3608.20261	0.00250162085881675
3606.15366	0.00267115023514867
3604.10471	0.00283842840876714
3602.05575	0.00305289580498729
3600.0068	0.00324168515682996
3597.95785	0.00333944955932033
3595.9089	0.00346500500342444
3593.85995	0.00364694124021939
3591.811	0.00378817380016406
3589.76205	0.00393556392361983
3587.7131	0.00410671493242212
3585.66415	0.00425542923692903
3583.6152	0.0044570748676065
3581.56625	0.0047039338788602
3579.51729	0.00480501230700899
3577.46834	0.00483029356395005
3575.41939	0.00496324522448911
3573.37044	0.00510847513493766
3571.32149	0.00514800291181907
3569.27254	0.00522505177610624
3567.22359	0.00538755084174297
3565.17464	0.00551828895120441
3563.12569	0.00562521330931837
3561.07674	0.00577426208355532
3559.02779	0.00592465850492821
3556.97883	0.00607226833839863
3554.92988	0.00627302069735643
3552.88093	0.00646350532868752
3550.83198	0.00655863777753987
3548.78303	0.00664705302805482
3546.73408	0.00679862589577348
3544.68513	0.00699079680711992
3542.63618	0.0072144813016635
3540.58723	0.00746255870912586
3538.53828	0.00768691289952181
3536.48932	0.00784199787322365
3534.44037	0.00798672916907653
3532.39142	0.0081665110137196
3530.34247	0.00832628609534165
3528.29352	0.00847338624974062
3526.24457	0.00867017496625656
3524.19562	0.00891400217380113
3522.14667	0.00914013635334399
3520.09772	0.00935246135794775
3518.04877	0.00960134069665359
3515.99982	0.00984046818894824
3513.95086	0.010052614577406
3511.90191	0.0102931297901321
3509.85296	0.0105427574204005
3507.80401	0.0107320691239132
3505.75506	0.0108972835922791
3503.70611	0.0111099498496444
3501.65716	0.0113390739337502
3499.60821	0.0115497433303218
3497.55926	0.0117770545605072
3495.51031	0.012011027242996
3493.46135	0.0122191289530443
3491.4124	0.0124395602975922
3489.36345	0.0126568024265761
3487.3145	0.0128312369424308
3485.26555	0.0130304309768929
